customerID,Churn,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,BillingDelayDays,LastSupportContactDaysAgo,ContractRenewalRemainingDays,TechComplaint,NumSupportCalls,CustomerSatisfaction,HasMultipleServices,AvgMonthlyRevenue,PaymentRegularityIndex,SupportInteractionRate,LoyaltyScore,PromoResponse,NetPromoterScore
1680-VDCWW,No,Male,0.0,Yes,No,12.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),19.8,202.25,16,95,169,0,1,4,0,16.854166666666668,0.7333333333333334,0.08333333333333333,45.33,1,9
1066-JKSGK,Yes,Male,0.0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.15,20.15,33,118,16,0,4,1,0,20.15,0.44999999999999996,1.0,15.56,0,0
3638-WEABW,No,Female,0.0,Yes,No,58.0,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Two year,Yes,Credit card (automatic),59.9,3505.1,3,53,146,1,2,5,0,60.432758620689654,0.95,0.034482758620689655,81.22,0,10
6322-HRPFA,No,Male,0.0,Yes,Yes,49.0,Yes,No,DSL,Yes,Yes,No,Yes,No,No,Month-to-month,No,Credit card (automatic),59.6,2970.3,29,64,15,1,4,3,0,60.61836734693878,0.5166666666666666,0.08163265306122448,55.56,1,5
6865-JZNKO,No,Female,0.0,No,No,30.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),55.3,1530.6,27,70,2,0,3,3,0,51.019999999999996,0.55,0.1,45.67,1,6
6467-CHFZW,Yes,Male,0.0,Yes,Yes,47.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,99.35,4749.15,12,51,16,1,4,2,1,101.04574468085106,0.8,0.0851063829787234,64.11,0,3
8665-UTDHZ,Yes,Male,0.0,Yes,Yes,1.0,No,No phone service,DSL,No,Yes,No,No,No,No,Month-to-month,No,Electronic check,30.2,30.2,7,112,10,0,1,2,0,30.2,0.8833333333333333,1.0,30.22,0,3
5248-YGIJN,No,Male,0.0,Yes,No,72.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),90.25,6369.45,21,107,339,0,1,1,1,88.46458333333334,0.65,0.013888888888888888,69.0,1,0
8773-HHUOZ,Yes,Female,0.0,No,Yes,17.0,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,64.7,1093.1,12,36,21,1,4,3,1,64.3,0.8,0.23529411764705882,53.44,0,6
3841-NFECX,No,Female,1.0,Yes,No,71.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),96.35,6766.95,12,92,112,0,2,2,0,95.30915492957746,0.8,0.028169014084507043,67.44,1,3
4929-XIHVW,No,Male,1.0,Yes,No,2.0,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),95.5,181.65,19,18,3,0,3,5,1,90.825,0.6833333333333333,1.0,54.78,1,9
6827-IEAUQ,No,Female,0.0,Yes,Yes,27.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,No,One year,No,Mailed check,66.15,1874.45,5,97,82,0,0,4,0,69.42407407407407,0.9166666666666666,0.0,57.33,1,7
7310-EGVHZ,No,Male,0.0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Bank transfer (automatic),20.2,20.2,15,100,6,0,0,3,0,20.2,0.75,0.0,33.56,0,3
3413-BMNZE,No,Male,1.0,No,No,1.0,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),45.25,45.25,14,112,6,0,3,3,0,45.25,0.7666666666666666,1.0,33.89,1,6
6234-RAAPL,No,Female,0.0,Yes,Yes,72.0,Yes,Yes,Fiber optic,Yes,Yes,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),99.9,7251.7,20,83,317,1,3,3,1,100.71805555555555,0.6666666666666667,0.041666666666666664,81.33,1,4
6047-YHPVI,Yes,Male,0.0,No,No,5.0,Yes,No,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,69.7,316.9,5,118,18,1,1,1,0,63.379999999999995,0.9166666666666666,0.2,27.11,1,1
6572-ADKRS,No,Female,0.0,No,No,46.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),74.8,3548.3,30,105,5,1,3,1,0,77.13695652173914,0.5,0.06521739130434782,41.56,0,0
5380-WJKOV,Yes,Male,0.0,No,No,34.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,106.35,3549.25,5,45,24,1,1,3,1,104.38970588235294,0.9166666666666666,0.029411764705882353,65.22,1,4
8168-UQWWF,Yes,Female,0.0,No,No,11.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),97.85,1105.4,23,51,25,1,1,5,1,100.4909090909091,0.6166666666666667,0.09090909090909091,58.44,1,10
8865-TNMNX,No,Male,0.0,Yes,Yes,10.0,Yes,No,DSL,No,Yes,No,No,No,No,One year,No,Mailed check,49.55,475.7,26,21,308,0,3,5,0,47.57,0.5666666666666667,0.3,46.89,1,10
9489-DEDVP,No,Female,0.0,Yes,Yes,70.0,Yes,Yes,DSL,Yes,Yes,No,No,Yes,No,Two year,Yes,Credit card (automatic),69.2,4872.35,15,91,122,0,0,2,1,69.605,0.75,0.0,75.89,0,3
9867-JCZSP,No,Female,0.0,Yes,Yes,17.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,20.75,418.25,37,96,330,1,3,3,0,24.602941176470587,0.3833333333333333,0.17647058823529413,35.11,1,3
4671-VJLCL,No,Female,0.0,No,No,63.0,Yes,Yes,DSL,Yes,Yes,Yes,Yes,Yes,No,Two year,Yes,Credit card (automatic),79.85,4861.45,1,97,31,0,2,2,1,77.16587301587302,0.9833333333333333,0.031746031746031744,76.67,1,1
4080-IIARD,No,Female,0.0,Yes,No,13.0,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Electronic check,76.2,981.45,13,80,4,0,1,4,1,75.49615384615385,0.7833333333333333,0.07692307692307693,56.89,0,8
3714-NTNFO,No,Female,0.0,No,No,49.0,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Electronic check,84.5,3906.7,24,37,5,0,2,3,1,79.72857142857143,0.6,0.04081632653061224,67.22,1,3
5948-UJZLF,No,Male,0.0,No,No,2.0,Yes,No,DSL,No,Yes,No,No,No,No,Month-to-month,No,Mailed check,49.25,97.0,17,9,15,0,0,5,0,48.5,0.7166666666666667,0.0,45.44,1,9
7760-OYPDY,Yes,Female,0.0,No,No,2.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.65,144.15,11,46,9,1,3,2,1,72.075,0.8166666666666667,1.0,39.44,0,1
7639-LIAYI,No,Male,0.0,No,No,52.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),79.75,4217.8,14,97,333,1,1,3,1,81.11153846153846,0.7666666666666666,0.019230769230769232,72.22,1,6
2954-PIBKO,No,Female,0.0,Yes,Yes,69.0,Yes,Yes,DSL,Yes,No,Yes,Yes,No,No,Two year,Yes,Credit card (automatic),64.15,4254.1,30,17,34,0,2,2,0,61.6536231884058,0.5,0.028985507246376812,60.33,0,3
8012-SOUDQ,No,Female,1.0,No,No,43.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,90.25,3838.75,13,26,27,0,0,3,1,89.27325581395348,0.7833333333333333,0.0,67.56,1,6
9420-LOJKX,Yes,Female,0.0,No,No,15.0,Yes,No,Fiber optic,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.1,1426.4,18,64,24,0,1,2,1,95.09333333333333,0.7,0.06666666666666667,44.33,1,2
6575-SUVOI,No,Female,1.0,Yes,No,25.0,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Credit card (automatic),69.5,1752.65,24,70,5,0,4,3,1,70.10600000000001,0.6,0.16,53.89,1,4
7495-OOKFY,Yes,Female,1.0,Yes,No,8.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Credit card (automatic),80.65,633.3,9,4,27,0,1,2,0,79.1625,0.85,0.125,33.44,1,4
4667-QONEA,No,Female,1.0,Yes,Yes,60.0,Yes,No,DSL,Yes,Yes,Yes,Yes,No,Yes,One year,Yes,Credit card (automatic),74.85,4456.35,12,120,49,0,1,1,1,74.27250000000001,0.8,0.016666666666666666,65.33,0,0
1658-BYGOY,Yes,Male,1.0,No,No,18.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,95.45,1752.55,20,37,0,1,4,2,1,97.36388888888888,0.6666666666666667,0.2222222222222222,45.33,0,2
8769-KKTPH,No,Female,0.0,Yes,Yes,63.0,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),99.65,6311.2,34,41,156,0,0,1,1,100.17777777777778,0.43333333333333335,0.0,59.67,1,0
5067-XJQFU,No,Male,1.0,Yes,Yes,66.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,Yes,Electronic check,108.45,7076.35,28,56,273,1,0,2,1,107.21742424242424,0.5333333333333333,0.0,69.33,1,4
3957-SQXML,No,Female,0.0,Yes,Yes,34.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Credit card (automatic),24.95,894.3,30,34,46,0,0,4,0,26.302941176470586,0.5,0.0,52.89,0,9
5954-BDFSG,No,Female,0.0,No,No,72.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,Yes,Credit card (automatic),107.5,7853.7,12,99,154,0,2,3,1,109.07916666666667,0.8,0.027777777777777776,84.0,0,4
0434-CSFON,No,Female,0.0,Yes,No,47.0,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,100.5,4707.1,23,107,7,0,1,4,1,100.15106382978725,0.6166666666666667,0.02127659574468085,72.44,0,8
1215-FIGMP,No,Male,0.0,No,No,60.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Bank transfer (automatic),89.9,5450.7,20,43,24,1,1,3,1,90.845,0.6666666666666667,0.016666666666666666,74.67,0,6
0526-SXDJP,No,Male,0.0,Yes,No,72.0,No,No phone service,DSL,Yes,Yes,Yes,No,No,No,Two year,No,Bank transfer (automatic),42.1,2962.0,26,113,198,0,2,3,0,41.138888888888886,0.5666666666666667,0.027777777777777776,69.33,0,3
0557-ASKVU,No,Female,0.0,Yes,Yes,18.0,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,Yes,Credit card (automatic),54.4,957.1,34,56,196,1,1,4,0,53.172222222222224,0.43333333333333335,0.05555555555555555,42.67,0,9
5698-BQJOH,Yes,Female,0.0,No,No,9.0,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,94.4,857.25,26,39,22,0,0,2,1,95.25,0.5666666666666667,0.0,38.33,0,1
5122-CYFXA,No,Female,0.0,No,No,3.0,Yes,No,DSL,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Electronic check,75.3,244.1,3,89,20,0,0,2,1,81.36666666666666,0.95,0.0,42.67,0,4
8627-ZYGSZ,No,Male,0.0,Yes,No,47.0,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Electronic check,78.9,3650.35,14,120,224,0,2,4,0,77.66702127659575,0.7666666666666666,0.0425531914893617,65.44,0,6
3410-YOQBQ,No,Female,0.0,No,No,31.0,Yes,No,DSL,No,Yes,Yes,Yes,Yes,Yes,Two year,No,Mailed check,79.2,2497.2,29,26,245,0,1,2,1,80.55483870967741,0.5166666666666666,0.03225806451612903,49.56,1,1
3170-NMYVV,No,Female,0.0,Yes,Yes,50.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.15,930.9,37,87,181,0,2,1,0,18.618,0.3833333333333333,0.04,41.44,0,2
7410-OIEDU,No,Male,0.0,No,No,10.0,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,79.85,887.35,14,70,9,0,1,1,0,88.735,0.7666666666666666,0.1,26.89,0,0
2273-QCKXA,No,Male,0.0,No,No,1.0,Yes,No,DSL,No,No,No,Yes,No,No,Month-to-month,No,Mailed check,49.05,49.05,34,23,28,0,1,1,0,49.05,0.43333333333333335,1.0,15.22,0,0
0731-EBJQB,No,Female,0.0,Yes,Yes,52.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,20.4,1090.65,34,6,167,0,0,3,0,20.974038461538463,0.43333333333333335,0.0,55.56,0,6
1891-QRQSA,No,Male,1.0,Yes,Yes,64.0,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),111.6,7099.0,28,76,323,1,4,3,1,110.921875,0.5333333333333333,0.0625,74.22,0,3
8028-PNXHQ,No,Male,0.0,Yes,Yes,62.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),24.25,1424.6,22,102,337,0,0,2,0,22.97741935483871,0.6333333333333333,0.0,59.11,1,3
5630-AHZIL,No,Female,0.0,No,Yes,3.0,Yes,No,DSL,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Bank transfer (automatic),64.5,177.4,8,12,2,0,2,2,1,59.13333333333333,0.8666666666666667,0.6666666666666666,41.0,0,2
2673-CXQEU,No,Female,1.0,No,No,56.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,One year,No,Electronic check,110.5,6139.5,53,82,286,1,7,1,1,109.63392857142857,0.1166666666666667,0.125,49.44,0,0
6416-JNVRK,No,Female,0.0,No,No,46.0,Yes,No,DSL,No,No,No,No,No,Yes,One year,No,Credit card (automatic),55.65,2688.85,55,61,190,0,0,3,1,58.45326086956521,0.08333333333333337,0.0,55.22,1,5
5590-ZSKRV,No,Female,0.0,Yes,Yes,8.0,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,54.65,482.25,51,70,0,0,0,2,0,60.28125,0.15000000000000002,0.0,19.44,1,2
0191-ZHSKZ,No,Male,1.0,No,No,30.0,Yes,No,DSL,Yes,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,74.75,2111.3,11,37,16,0,4,1,1,70.37666666666668,0.8166666666666667,0.13333333333333333,49.0,0,1
3887-PBQAO,No,Female,0.0,Yes,Yes,45.0,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),25.9,1216.6,21,52,1,1,1,2,0,27.035555555555554,0.65,0.022222222222222223,50.0,0,3
5919-TMRGD,Yes,Female,0.0,No,Yes,1.0,Yes,No,Fiber optic,No,No,No,No,Yes,No,Month-to-month,Yes,Electronic check,79.35,79.35,9,92,18,0,1,4,1,79.35,0.85,1.0,51.56,0,9
8108-UXRQN,No,Female,0.0,Yes,Yes,11.0,No,No phone service,DSL,Yes,No,No,No,Yes,Yes,Month-to-month,No,Electronic check,50.55,565.35,31,8,19,0,4,1,1,51.39545454545455,0.4833333333333333,0.36363636363636365,31.78,0,1
9191-MYQKX,Yes,Female,0.0,Yes,No,7.0,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),75.15,496.9,9,89,3,0,3,1,0,70.98571428571428,0.85,0.42857142857142855,26.89,0,0
9919-YLNNG,No,Female,0.0,No,No,42.0,Yes,No,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),103.8,4327.5,25,95,0,0,0,2,1,103.03571428571429,0.5833333333333333,0.0,57.0,1,3
0318-ZOPWS,No,Female,0.0,Yes,No,49.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),20.15,973.35,17,57,214,1,4,3,0,19.864285714285714,0.7166666666666667,0.08163265306122448,59.56,0,6
4445-ZJNMU,No,Male,0.0,No,No,9.0,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),99.3,918.75,30,13,19,0,1,5,1,102.08333333333333,0.5,0.1111111111111111,55.0,1,10
4808-YNLEU,No,Female,0.0,Yes,No,35.0,Yes,No,DSL,Yes,No,No,No,Yes,No,One year,Yes,Bank transfer (automatic),62.15,2215.45,18,49,49,0,2,5,1,63.29857142857142,0.7,0.05714285714285714,73.44,0,10
1862-QRWPE,No,Female,0.0,Yes,Yes,48.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),20.65,1057.0,25,42,98,0,3,5,0,22.020833333333332,0.5833333333333333,0.0625,68.33,0,10
2796-NNUFI,No,Female,0.0,Yes,Yes,46.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,19.95,927.1,28,71,272,0,2,4,0,20.15434782608696,0.5333333333333333,0.043478260869565216,60.22,0,6
3016-KSVCP,No,Male,0.0,Yes,No,29.0,No,No phone service,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,33.75,1009.25,13,32,2,0,1,3,0,34.80172413793103,0.7833333333333333,0.034482758620689655,49.78,1,5
4767-HZZHQ,No,Male,0.0,Yes,Yes,30.0,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),82.05,2570.2,36,13,25,1,3,4,0,85.67333333333333,0.4,0.1,48.67,0,7
2424-WVHPL,No,Male,1.0,No,No,1.0,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Electronic check,74.7,74.7,15,29,2,0,2,5,0,74.7,0.75,1.0,45.56,0,10
7233-PAHHL,No,Male,0.0,Yes,Yes,66.0,Yes,Yes,DSL,Yes,No,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,84.0,5714.25,30,114,107,0,0,3,1,86.57954545454545,0.5,0.0,74.67,0,5
6067-NGCEU,No,Female,0.0,No,No,65.0,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),111.05,7107.0,33,69,23,0,0,1,1,109.33846153846154,0.44999999999999996,0.0,61.11,0,0
9848-JQJTX,No,Male,0.0,No,No,72.0,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,Two year,Yes,Bank transfer (automatic),100.9,7459.05,12,72,23,1,3,1,1,103.59791666666666,0.8,0.041666666666666664,72.0,1,3
8637-XJIVR,Yes,Female,0.0,No,No,12.0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Electronic check,78.95,927.35,33,91,29,0,2,2,0,77.27916666666667,0.44999999999999996,0.16666666666666666,27.67,1,2
9803-FTJCG,No,Male,0.0,Yes,Yes,71.0,Yes,Yes,DSL,Yes,Yes,No,Yes,No,No,One year,Yes,Credit card (automatic),66.85,4748.7,29,28,346,1,2,2,0,66.8830985915493,0.5166666666666666,0.028169014084507043,61.78,0,2
0278-YXOOG,Yes,Male,0.0,No,No,5.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,21.05,113.85,11,28,15,0,3,3,0,22.77,0.8166666666666667,0.6,37.11,1,6
3212-KXOCR,No,Male,0.0,No,No,52.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Bank transfer (automatic),21.0,1107.2,38,46,76,0,2,4,0,21.292307692307695,0.3666666666666667,0.038461538461538464,60.22,0,7
4598-XLKNJ,Yes,Female,1.0,Yes,No,25.0,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,98.5,2514.5,17,43,16,0,1,2,1,100.58,0.7166666666666667,0.04,50.22,1,1
6380-ARCEH,No,Male,0.0,No,No,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,20.2,20.2,31,62,29,0,0,1,0,20.2,0.4833333333333333,0.0,16.22,1,0
3679-XASPY,No,Female,0.0,Yes,Yes,1.0,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,19.45,19.45,42,86,25,1,3,3,0,19.45,0.30000000000000004,1.0,24.56,0,5
7123-WQUHX,No,Male,0.0,No,No,38.0,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,One year,No,Bank transfer (automatic),95.0,3605.6,20,82,80,0,3,1,1,94.88421052631578,0.6666666666666667,0.07894736842105263,50.44,1,2
5386-THSLQ,No,Female,1.0,Yes,No,66.0,No,No phone service,DSL,No,Yes,Yes,No,Yes,No,One year,No,Bank transfer (automatic),45.55,3027.25,31,19,338,1,1,2,0,45.86742424242424,0.4833333333333333,0.015151515151515152,58.33,1,3
3192-NQECA,Yes,Male,0.0,Yes,No,68.0,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Bank transfer (automatic),110.0,7611.85,28,118,349,0,2,1,1,111.93897058823529,0.5333333333333333,0.029411764705882353,64.44,1,2
